,questions,answer,doc_page,doc_content,doc_source
0,สวิตช์ล็อกทำงานอย่างไร?,เมื่อกดสวิตช์ล็อก (1) ไฟแสดง (2) จะสว่างขึ้น และสวิตช์ด้านผู้โดยสารจะไม่สามารถใช้เปิดหรือปิดกระจกหน้าต่างประตูได้ และสวิตช์ด้านคนขับจะไม่สามารถเปิดหรือปิดกระจกหน้าต่างประตูอื่นได้นอกจากกระจกหน้าต่างประตูด้านคนขับ การปลดล็อกให้กดสวิตช์ล็อกอีกครั้ง และไฟแสดงจะดับลงกุญแจอัจฉริยะ,49,และดึงสวิตช์ขึ้นเพื่อปิดกุญแจอัจฉริยะ หมายเหตุ -  การเปิดปิดซํ้าๆ ขณะที่เครื่องยนต์ไม่ทํางานจะเป็นการสิ้นเปลืองแบตเตอรี่พยายามอย่าใช้สวิตช์กระจกยกเว้นในขณะที่เครื่องยนต์กําลังทํางาน -  กระจกหน้าต่างประตูหลังจะเปิดเพียงครึ่งเดียวเท่านั้น (ดับเบิลแค็บ) สวิตช์ล็อก เมื่อกดสวิตช์ล็อก (1) ไฟแสดง (2) จะสว่างขึ้น และสวิตช์ด้านผู้โดยสารจะไม่สามารถใช้เปิดหรือปิดกระจกหน้าต่างประตูได้ และสวิตช์ด้านคนขับจะไม่สามารถเปิดหรือปิดกระจกหน้าต่างประตูอื่นได้นอกจากกระจกหน้าต่างประตูด้านคนขับการปลดล็อก ให้กดสวิตช์ล็อกอีกครั้ง และไฟแสดงจะดับลงกุญแจอัจฉริยะ,docs/Text_PDF_.pdf
1,การขับขี่ขึ้นทางชัน E00647000125 ต้องตั้งค่าปุ่มเลือกโหมดการขับเคลื่อน 4 ล้อไปที่ตําแหน่งใด?,ไม่มีข้อมูลที่ระบุว่าต้องตั้งค่าปุ่มเลือกโหมดการขับเคลื่อน 4 ล้อไปที่ตำแหน่งใดเมื่อขับขี่ขึ้นทางชัน E00647000125,215,"ศูนย์บริการมิตซูบิชิจะไม่รับผิดชอบ วิธีการใช้รถที่แนะนําไว้ในคู่มือเล่มนี้ขึ้นอยู่กับความสามารถและประสบการณ์ของผู้ขับขี่รวมถึงบุคคลอื่นๆ ที่เกี่ยวข้อง และหากไม่ปฏิบัติตามคําแนะนําที่ระบุไว้ก็เป็นความรับผิดชอบของคุณเอง การขับขี่ขึ้นทางชัน E00647000125 ตั้งค่าปุ่มเลือกโหมดการขับเคลื่อน 4 ล้อไปที่ตําแหน่ง “4L” (Easy Select 4WD), ตําแหน่ง “4LLc” (Super Select 4WD II) เพื่อให้มีแรงบิดเครื่องยนต์สูงสุด คําเตือน ●ควรขับขึ้นตรงๆ ไม่ควรขับตัดผ่านทางที่ชันมากๆ ●หากเริ่มสูญเสียกําลังขับ ให้ผ่อนคันเร่งและค่อยๆ หักเลี้ยวซ้ายขวาสลับไปมาเพื่อช่วยให้รถมีกําลังขับขึ้นทางลาดชันได้ หมายเหตุ",docs/Text_PDF_.pdf
2,อุปกรณ์ภายนอกที่อยู่ด้านหน้าของรถมีอะไรบ้าง?,"อุปกรณ์ภายนอกที่อยู่ด้านหน้าของรถประกอบด้วย:

1. ดับเบิลแค็บ - กล้องด้านหน้า (สำหรับ AHB และ FCM)
2. เซ็นเซอร์ตรวจวัดน้ำฝน
3. ที่ปัดน้ำฝนและฉีดน้ำล้างกระจก
4. ไฟหน้าแบบแฮลโลเจนและไฟหน้าแบบ LED
5. เซ็นเซอร์ (สำหรับ FCM)
6. ไฟเลี้ยวด้านหน้า
7. เซ็นเซอร์จอดรถ
8. ไฟหรี่หน้า
9. ไฟหน้าและไฟสูงต่ำ
10. ไฟตัดหมอกด้านหน้า
11. ไฟเลี้ยวด้านหน้า
12. ไฟหรี่ไฟส่องสว่างเวลากลางวัน (DRL)
13. ไฟหน้าและไฟต่ำ
14. ไฟตัดหมอกด้านหน้า

โปรดทราบว่าบางพื้นที่อาจไม่แสดงวัตถุต่างๆ และระบบไม่แจ้งเตือนเมื่อพบวัตถุเคลื่อนที่เมื่ออยู่ในหน้าจอมุมด้านหน้าหรือด้านหลัง และอาจไม่แสดงวัตถุใต้กันชนหรือบนพื้นดิน",6,"อุปกรณ์ภายนอก-ด้านหน้า ภาพโดยรวมคู่มืออย่างง่าย1-5 ซิงเกิลแค็บ - เสาอากาศหน้า7-21 - การควบคุมหน้าต่างไฟฟ้าหน้า3-19 - ฝาปิดถังนํ้ามันเชื้อเพลิงหน้า2-2 - การล็อกและปลดล็อกหน้า3-13 - ระบบกุญแจรีโมทหน้า3-4 - กระจกมองข้างหน้า6-8 - ไฟเลี้ยวด้านข้างหน้า5-44,10-24 - ไฟเลี้ยวด้านหน้าหน้า5-44,10-24,10-27 - ไฟหน้า,ไฟสูงตํ่าหน้า5-40,10-24,10-26 - ไฟหรี่หน้า5-40,10-24,10-27 - ที่ป้ดนํ้าฝนและฉีดนํ้าล้างกระจกหน้า5-45,10-16 - ฝากระโปรงหน้าหน้า10-3 - ห้องเครื่องยนต์หน้า10-2,11-9",docs/Text_PDF_.pdf
3,รถรุ่นที่ติดตั้งการเตือนคาดเข็มขัดนิรภัยสำหรับเบาะนั่งผู้โดยสารด้านหลังมีสัญลักษณ์อะไรบนเบาะนั่งสีแดง?,"สัญลักษณ์บนเบาะนั่งสีแดงคือ ""X""",59,เป็นเหตุให้เสียงเตือนดังและไฟเตือนสว่างขึ้นได้ -  [รถแบบที่ 1]สําหรับรถรุ่นที่ติดตั้งการเตือนคาดเข็มขัดนิรภัยสําหรับเบาะนั่งผู้โดยสารด้านหลัง เบาะนั่งที่ไม่ได้คาดเข็มขัดนิรภัยสําหรับผู้โดยสารด้านหลังจะถูกรีเซ็ตหลังจากเปิดประตูหลังบานใดบานหนึ่งในขณะที่รถหยุดและปิดประตูทุกบาน สําหรับเบาะนั่งผู้โดยสารด้านหลัง* 1- เบาะนั่งสีแดงที่มีสัญลักษณ์ “X”: แสดงว่าเข็มขัดนิรภัยที่เกี่ยวข้องไม่ได้คาด 2- เบาะนั่งสีเขียวที่มีเครื่องหมายถูก: คาดเข็มขัดนิรภัยที่เกี่ยวข้อง การเตือนคาดเข็มขัดนิรภัยด้านหลังจะแสดงบนหน้าจอแสดงข้อมูลรวมเป็นเวลาประมาณ 65 วินาทีเมื่อโหมดการทํางานอยู่ที่ ON,docs/Text_PDF_.pdf
4,บนถนนที่ปกคลุมด้วยหิมะหรือลื่นอาจมีความแตกต่างระหว่างเส้นคาดการณ์แนวทางรถกับเส้นแนวทางรถจริงใช่ไหม?,"ใช่, เส้นคาดการณ์แนวทางรถบนถนนที่ปกคลุมด้วยหิมะหรือลื่นอาจแสดงความแตกต่างกับเส้นแนวทางรถจริงได้ ซึ่งอาจทำให้มีความเสี่ยงในการขับขี่ เพราะถนนที่ปกคลุมด้วยหิมะหรือลื่นอาจทำให้รถสะเทือนหรือสลิดได้ง่ายขึ้น ดังนั้นควรระมัดระวังและปฏิบัติตามเส้นคาดการณ์แนวทางรถอย่างรอบคอบเพื่อความปลอดภัยในการขับขี่",265,เส้นคาดการณ์ แนวทางรถอาจแสดงไม่ถูกต้อง     • บนถนนที่ปกคลุมด้วยหิมะหรือลื่นอาจมีความแตกต่าง ระหว่างเส้นคาดการณ์แนวทางรถกับเส้นแนวทางรถจริง,docs/Text_PDF_.pdf
5,ควรเลือกโหมดการขับเคลื่อนใดเมื่อขับรถบนถนนลาดยางหรือถนนลื่นในสภาพต่างๆ?,ควรเลือกโหมดการขับเคลื่อน 4H (4-wheel drive high) เมื่อขับรถบนถนนลาดยางหรือถนนลื่นในสภาพต่างๆ,194,: สว่าง : ดับ ตําแหน่งปุ่มเลือกการขับเคลื่อน 4 ล้อตัวแสดงโหมดการขับเคลื่อน 4 ล้อและตัวแสดงการทํางาน 2WD/4WDสภาพการขับขี่2Hขับเคลื่อนล้อหลังเมื่อขับขี่บนถนนลาดยางแห้งอย่างประหยัด แล่นด้วยการขับเคลื่อนล้อหลัง4Hขับเคลื่อน 4 ล้อตลอดเวลาเมื่อขับขี่บนถนนลาดยางหรือถนนลื่นในสภาพต่างๆ แล่นด้วยการขับเคลื่อน 4 ล้อตําแหน่งปุ่มเลือกการขับเคลื่อน 4 ล้อตัวแสดงโหมดการขับเคลื่อน4 ล้อและตัวแสดงการทํางาน 2WD/4WDสภาพการขับขี่4HLcเซ็นเตอร์ดิฟล็อก ขับเคลื่อน 4 ล้อเมื่อขับรถบนถนนขรุขระ มีทราย มีโคลน หรือมีหิมะหนา4LLcเซ็นเตอร์ดิฟล็อก ขับเคลื่อน 4 ล้อที่มีความเร็วตํ่า เมื่อขับขึ้นหรือลงเขาชัน ในสถานการณ์ 4HLc,docs/Text_PDF_.pdf
6,คุณสามารถตั้งค่าหรือรีเซ็ตระยะทางในการเปลี่ยนยางได้หรือไม่?,ใช่ คุณสามารถตั้งค่าหรือรีเซ็ตระยะทางในการเปลี่ยนยางได้,101,เลือก “การบํารุงรักษา” โดยใช้แป้นเลื่อนแล้วกด   -ระบบควบคุมนํ้ามันเครื่อง  -ยาง  -อื่นๆ  ■ ระบบควบคุมนํ้ามันเครื่อง ระบบนี้จะแสดงระยะทางที่เหลือโดยประมาณจนถึงการ เปลี่ยนถ่ายนํ้ามันเครื่องครั้งถัดไป คุณสามารถรีเซ็ตระยะทางสําหรับการเปลี่ยนถ่ายนํ้ามัน เครื่องได้ ให้ดูเรื่อง “ระบบควบคุมนํ้ามันเครื่อง” หน้า 6-20  ■ ยาง ไฟแสดงนี้จะปรากฏขึ้นเมื่อถึงระยะทางที่ลูกค้าตั้งไว้เพื่อ เปลี่ยนยาง คุณสามารถตั้งค่าหรือรีเซ็ตระยะทางในการ เปลี่ยนยางได้  คําเตือน   ไฟแสดงการเปลี่ยนยางไม่สามารถใช้แทนการ ตรวจสอบยางปกติได้รวมถึงการตรวจสอบแรงดัน ลมยาง ให้ดูเรื่อง “การเปลี่ยนยางและล้อ” หน้า 10-14,docs/Text_PDF_.pdf
7,การนั่งในท่าที่ถูกต้องมีความสำคัญอย่างไร?,"การนั่งในท่าที่ถูกต้องมีความสำคัญอย่างมากเพื่อความปลอดภัยขณะเดินทางในรถยนต์ ท่าที่ถูกต้องจะช่วยลดความเสี่ยงในการเกิดอุบัติเหตุและบาดเจ็บในกรณีที่เกิดเหตุขัดข้อง

การนั่งในท่าที่ถูกต้องจะมีลักษณะดังนี้:
1. ปรับเบาะนั่งให้สูงหรือต่ำเพียงพอเพื่อให้เท้าสามารถกระทำการเหยียดตรงได้ และเข่าอยู่ในระดับเดียวกับหัวเข่าหรือสูงกว่าเล็กน้อย
2. ปรับพนักพิงหลังให้อยู่ในตำแหน่งตั้งตรง โดยไม่ควรเอียงหรือหงายหลัง
3. รัดเข็มขัดนิรภัยให้แน่นเพื่อป้องกันการหลุดออกมาในกรณีเกิดอุบัติเหตุ
4. ไม่ควรนั่งในท่าที่เอียงหรือเอียงข้าง เพราะอาจทำให้เกิดอันตรายในกรณีเกิดอุบัติเหตุ

การนั่งในท่าที่ถูกต้องจะช่วยให้มีความควบคุมและสมดุลในการขับขี่รถยนต์ และลดความเสี่ยงในการเกิดอุบัติเหตุหรือบาดเจ็บในกรณีที่เกิดเหตุขัดข้อง ดังนั้น การนั่งในท่าที่ถูกต้องเป็นสิ่งสำคัญที่ควรใส่ใจในการใช้งานรถยนต์",76,-  ถุงลมนิรภัยพองตัวอย่างรวดเร็วมาก ในบางกรณีอาจก่อให้เกิดรอยถลอก ฟกชํ้า หรือขีดข่วนเล็กน้อยฯลฯ -  การนั่งในท่าที่ถูกต้องมีความสําคัญมากหากคนขับหรือผู้โดยสารด้านหน้านั่งชิดพวงมาลัยหรือแผงหน้าป้ดมากเกินไปขณะถุงลมนิรภัยทํางานอาจได้รับบาดเจ็บร้ายแรงหรือถึงแก่ชีวิตได้ถุงลมนิรภัยนั้นพองตัวออกมารวดเร็วและรุนแรงมากหากคนขับและผู้โดยสารด้านหน้าไม่ได้นั่งในท่าที่เหมาะสมและคาดเข็มขัดนิรภัย ถุงลมนิรภัยอาจไม่สามารถปกป้องคุณได้อย่างเต็มประสิทธิภาพและยังอาจเป็นสาเหตุให้ได้รับบาดเจ็บร้ายแรงหรือถึงแก่ชีวิตอีกด้วย -  ห้ามนั่งบนขอบเบาะนั่งหรือนั่งโดยให้ขาส่วนล่างอยู่ใกล้แผงหน้าป้ดมากเกินไป,docs/Text_PDF_.pdf
8,ควรทำอย่างไรเมื่อต้องเริ่มเครื่องยนต์ของรถ?,"เมื่อต้องเริ่มเครื่องยนต์ของรถ คุณควรทำตามขั้นตอนต่อไปนี้:

1. ตรวจสอบว่ารถอยู่ในที่ปลอดภัยและไม่มีสิ่งกีดขวางในระหว่างการเริ่มเครื่องยนต์ เช่น ก้อนหินหรือวัตถุอื่นๆ ที่อาจสร้างความเสี่ยงในการขับรถ

2. นำกุญแจอัจฉริยะออกจากรถ ในกรณีที่เครื่องยนต์กำลังทำงานอยู่ คุณควรดับเครื่องยนต์ก่อนที่จะนำกุญแจออก

3. เมื่อเครื่องยนต์ดับแล้ว กดสวิตช์เครื่องยนต์อย่างรวดเร็วติดต่อกันสามครั้งในเวลาน้อยกว่า 1.5 วินาที

4. กดสวิตช์เครื่องยนต์ค้างไว้นานกว่า 2 วินาที

5. เมื่อเครื่องยนต์ดับแล้ว เปิดประตูเพื่อกลับสู่สภาวะปกติ

โปรดทราบว่าขั้นตอนเหล่านี้เป็นขั้นตอนทั่วไป แต่อาจมีความแตกต่างในบางรถยนต์ ดังนั้น คุณควรตรวจสอบคู่มือการใช้งานของรถหรือปรึกษาศูนย์บริการของผู้ผลิตหากคุณไม่แน่ใจว่าควรทำอย่างไร",163,2. ตรวจให้แน่ใจว่าใส่เบรกมือแล้ว 3. เหยียบเบรกค้างไว้ให้มั่นคงด้วยเท้าขวา 4. สําหรับรถเกียร์ธรรมดา ให้เหยียบแป้นคลัตช์จนสุด และเลื่อนคันเกียร์ไปที่ตําแหน่ง “N” (เกียร์ว่าง) สําหรับรถเกียร์อัตโนมัติ ดูให้แน่ใจว่าคันเกียร์อยู่ที่ตําแหน่ง “P” (จอด) 5. บิดสวิตช์กุญแจไปที่ตําแหน่ง “ON” ไฟหัวเผาเครื่องยนต์ดีเซลจะสว่างขึ้นและจากนั้น สักพักจะดับ แสดงว่าการเผาหัวเสร็จสิ้นแล้ว,docs/Text_PDF_.pdf
9,วิธีการเปิด/ปิดการตรวจจับวัตถุเคลื่อนที่ในระบบเซ็นเซอร์จอดรถคืออะไร?,"วิธีการเปิด/ปิดการตรวจจับวัตถุเคลื่อนที่ในระบบเซ็นเซอร์จอดรถคือการใช้แป้นเลื่อนในเมนู ""เซ็นเซอร์จอดรถ"" เพื่อเลือกและเปลี่ยนรายการเมนู จากนั้นกดแป้นเลื่อนเพื่อเปิดหรือปิดการตรวจจับวัตถุเคลื่อนที่ (MOD)",97,ที่แสดงใน เมนู “เซ็นเซอร์จอดรถ” ให้ใช้แป้นเลื่อนเพื่อเลือกและ เปลี่ยนรายการเมนู:   -วัตถุเคลื่อนที่ กดแป้นเลื่อนเพื่อเปิด/ปิดการตรวจจับวัตถุเคลื่อนที่ (MOD)   -แสดงโซนาร์อัตโนมัติ ช่วยให้ผู้ใช้เปิด/ปิดตัวแสดงระบบเซ็นเซอร์จอดรถได้   -ด้านหน้า ช่วยให้ผู้ใช้เปิด/ปิดเซ็นเซอร์ด้านหน้าได้  -ด้านหลัง ช่วยให้ผู้ใช้เปิด/ปิดเซ็นเซอร์ด้านหลังได้,docs/Text_PDF_.pdf
